"","vetyears","natcity","natroad","natmass"
"3924","2 To 4 Years","Too Much",NA,NA
"3927","2 To 4 Years","Too Little",NA,NA
"3932","2 To 4 Years","About Right",NA,NA
"3933","More Than 4 Yrs","Too Little",NA,NA
"3937","2 To 4 Years",NA,NA,NA
"3939","2 To 4 Years","About Right",NA,NA
"3943","Less Than 2 Yrs","Too Little",NA,NA
"3948","Less Than 2 Yrs","About Right",NA,NA
"3950","2 To 4 Years","About Right",NA,NA
"3958","More Than 4 Yrs","Too Little",NA,NA
"3964","2 To 4 Years","Too Little",NA,NA
"3967","2 To 4 Years","Too Little",NA,NA
"3968","2 To 4 Years","Too Little",NA,NA
"3972","2 To 4 Years","Too Little",NA,NA
"3977","2 To 4 Years","Too Little",NA,NA
"3987","Less Than 2 Yrs","Too Little",NA,NA
"4002","2 To 4 Years","Too Little",NA,NA
"4003","2 To 4 Years","Too Little",NA,NA
"4007","2 To 4 Years","Too Little",NA,NA
"4012","More Than 4 Yrs","Too Little",NA,NA
"4013","More Than 4 Yrs","Too Little",NA,NA
"4018","2 To 4 Years","About Right",NA,NA
"4023","2 To 4 Years","Too Little",NA,NA
"4028","2 To 4 Years",NA,NA,NA
"4032","2 To 4 Years","Too Little",NA,NA
"4037","2 To 4 Years","About Right",NA,NA
"4038","More Than 4 Yrs","Too Little",NA,NA
"4043","2 To 4 Years","About Right",NA,NA
"4047","More Than 4 Yrs","Too Much",NA,NA
"4048","More Than 4 Yrs","Too Little",NA,NA
"4053","2 To 4 Years","Too Little",NA,NA
"4058","More Than 4 Yrs","About Right",NA,NA
"4063","2 To 4 Years","About Right",NA,NA
"4082","Some,Dk How Long","Too Much",NA,NA
"4083","2 To 4 Years",NA,NA,NA
"4084","More Than 4 Yrs",NA,NA,NA
"4087","2 To 4 Years","About Right",NA,NA
"4093","2 To 4 Years","About Right",NA,NA
"4097","Less Than 2 Yrs","Too Little",NA,NA
"4098","Less Than 2 Yrs","Too Little",NA,NA
"4107","2 To 4 Years","Too Little",NA,NA
"4117","2 To 4 Years","About Right",NA,NA
"4118","2 To 4 Years","Too Much",NA,NA
"4122","Less Than 2 Yrs","Too Much",NA,NA
"4129","2 To 4 Years","Too Little",NA,NA
"4132","2 To 4 Years","Too Little",NA,NA
"4134","Less Than 2 Yrs","Too Much",NA,NA
"4148","2 To 4 Years","Too Much",NA,NA
"4153","More Than 4 Yrs","Too Little",NA,NA
"4157","Less Than 2 Yrs","Too Little",NA,NA
"4158","More Than 4 Yrs","About Right",NA,NA
"4163","2 To 4 Years","Too Little",NA,NA
"4167","Less Than 2 Yrs",NA,NA,NA
"4168","More Than 4 Yrs",NA,NA,NA
"4178","2 To 4 Years","Too Little",NA,NA
"4183","2 To 4 Years","Too Much",NA,NA
"4187","More Than 4 Yrs","Too Little",NA,NA
"4188","Less Than 2 Yrs","About Right",NA,NA
"4192","2 To 4 Years","Too Little",NA,NA
"4197","2 To 4 Years","About Right",NA,NA
"4198","More Than 4 Yrs","Too Little",NA,NA
"4203","More Than 4 Yrs","Too Little",NA,NA
"4207","2 To 4 Years",NA,NA,NA
"4214","More Than 4 Yrs",NA,NA,NA
"4217","2 To 4 Years","Too Little",NA,NA
"4218","2 To 4 Years","About Right",NA,NA
"4219","2 To 4 Years","About Right",NA,NA
"4223","More Than 4 Yrs","Too Little",NA,NA
"4228","2 To 4 Years","Too Much",NA,NA
"4234","2 To 4 Years","Too Little",NA,NA
"4237","2 To 4 Years","Too Little",NA,NA
"4238","2 To 4 Years","Too Little",NA,NA
"4243","More Than 4 Yrs","Too Little",NA,NA
"4252","Less Than 2 Yrs",NA,NA,NA
"4266","2 To 4 Years","Too Little",NA,NA
"4267","2 To 4 Years","Too Little",NA,NA
"4268","More Than 4 Yrs",NA,NA,NA
"4272","More Than 4 Yrs","About Right",NA,NA
"4278","More Than 4 Yrs","About Right",NA,NA
"4279","Less Than 2 Yrs","Too Little",NA,NA
"4282","2 To 4 Years","About Right",NA,NA
"4283","2 To 4 Years","Too Much",NA,NA
"4287","More Than 4 Yrs","Too Little",NA,NA
"4292","2 To 4 Years","Too Little",NA,NA
"4293","Less Than 2 Yrs","Too Much",NA,NA
"4298","More Than 4 Yrs","Too Little",NA,NA
"4304","More Than 4 Yrs","Too Little",NA,NA
"4306","Less Than 2 Yrs",NA,NA,NA
"4307","Less Than 2 Yrs","Too Little",NA,NA
"4318","2 To 4 Years","Too Little",NA,NA
"4322","2 To 4 Years","About Right",NA,NA
"4323","Less Than 2 Yrs","About Right",NA,NA
"4333","More Than 4 Yrs","Too Much",NA,NA
"4343","More Than 4 Yrs","Too Little",NA,NA
"4347","2 To 4 Years","About Right",NA,NA
"4348","2 To 4 Years",NA,NA,NA
"4349","More Than 4 Yrs","About Right",NA,NA
"4353","2 To 4 Years","Too Little",NA,NA
"4357","2 To 4 Years","Too Much",NA,NA
"4359","2 To 4 Years","Too Much",NA,NA
"4363","More Than 4 Yrs","About Right",NA,NA
"4371","Less Than 2 Yrs","About Right",NA,NA
"4377","2 To 4 Years","Too Much",NA,NA
"4378","More Than 4 Yrs","Too Little",NA,NA
"4383","2 To 4 Years","About Right",NA,NA
"4388","2 To 4 Years","Too Little",NA,NA
"4398","More Than 4 Yrs",NA,NA,NA
"4399","Less Than 2 Yrs","Too Little",NA,NA
"4402","Less Than 2 Yrs",NA,NA,NA
"4403","2 To 4 Years",NA,NA,NA
"4407","Less Than 2 Yrs","About Right",NA,NA
"4408","More Than 4 Yrs","Too Little",NA,NA
"4432","2 To 4 Years","Too Much",NA,NA
"4438","Some,Dk How Long",NA,NA,NA
"4439","2 To 4 Years","About Right",NA,NA
"4452","More Than 4 Yrs","Too Little",NA,NA
"4453","More Than 4 Yrs","Too Much",NA,NA
"4454","2 To 4 Years","Too Little",NA,NA
"4458","More Than 4 Yrs","Too Little",NA,NA
"4459","2 To 4 Years","About Right",NA,NA
"4462","2 To 4 Years","Too Much",NA,NA
"4463","2 To 4 Years",NA,NA,NA
"4474","Less Than 2 Yrs","Too Much",NA,NA
"4477","More Than 4 Yrs","About Right",NA,NA
"4478","2 To 4 Years","About Right",NA,NA
"4490","Less Than 2 Yrs",NA,NA,NA
"4492","2 To 4 Years","About Right",NA,NA
"4498","Less Than 2 Yrs","Too Little",NA,NA
"4502","Less Than 2 Yrs","Too Little",NA,NA
"4513","Less Than 2 Yrs","Too Much",NA,NA
"4518","2 To 4 Years","Too Little",NA,NA
"4522","Less Than 2 Yrs","Too Little",NA,NA
"4528","Less Than 2 Yrs","Too Little",NA,NA
"4532","2 To 4 Years",NA,NA,NA
"4533","2 To 4 Years","Too Little",NA,NA
"4548","Some,Dk How Long","About Right",NA,NA
"4554","2 To 4 Years","About Right",NA,NA
"4557","2 To 4 Years","About Right",NA,NA
"4558","2 To 4 Years",NA,NA,NA
"4566","2 To 4 Years",NA,NA,NA
"4568","Less Than 2 Yrs","About Right",NA,NA
"4578","2 To 4 Years","Too Little",NA,NA
"4579","2 To 4 Years","Too Little",NA,NA
"4582","Less Than 2 Yrs","Too Little",NA,NA
"4587","2 To 4 Years","Too Much",NA,NA
"4594","More Than 4 Yrs","Too Much",NA,NA
"4597","More Than 4 Yrs","Too Little",NA,NA
"4602","Less Than 2 Yrs","Too Little",NA,NA
"4614","2 To 4 Years","Too Little",NA,NA
"4630","More Than 4 Yrs","Too Little",NA,NA
"4632","2 To 4 Years","Too Little",NA,NA
"4658","2 To 4 Years","Too Little",NA,NA
"4660","2 To 4 Years","Too Much",NA,NA
"4666","2 To 4 Years","Too Little",NA,NA
"4672","2 To 4 Years","About Right",NA,NA
"4679","2 To 4 Years","About Right",NA,NA
"4684","2 To 4 Years","About Right",NA,NA
"4686","2 To 4 Years","About Right",NA,NA
"4692","More Than 4 Yrs","About Right",NA,NA
"4705","Less Than 2 Yrs","About Right",NA,NA
"4710","Less Than 2 Yrs","Too Little",NA,NA
"4712","More Than 4 Yrs","Too Little",NA,NA
"4716","Less Than 2 Yrs","Too Much",NA,NA
"4724","2 To 4 Years","Too Little",NA,NA
"4726","Less Than 2 Yrs","Too Little",NA,NA
"4728","2 To 4 Years","Too Little",NA,NA
"4729","Less Than 2 Yrs","About Right",NA,NA
"4731","Less Than 2 Yrs","About Right",NA,NA
"4735","More Than 4 Yrs","Too Little",NA,NA
"4741","Less Than 2 Yrs","Too Much",NA,NA
"4743","2 To 4 Years","Too Little",NA,NA
"4744","2 To 4 Years","Too Little",NA,NA
"4746","2 To 4 Years",NA,NA,NA
"4747","2 To 4 Years","Too Much",NA,NA
"4754","2 To 4 Years","About Right",NA,NA
"4757","Less Than 2 Yrs","Too Much",NA,NA
"4758","More Than 4 Yrs","Too Much",NA,NA
"4761","2 To 4 Years","Too Little",NA,NA
"4767","More Than 4 Yrs","Too Little",NA,NA
"4768","More Than 4 Yrs","Too Little",NA,NA
"4770","2 To 4 Years","Too Much",NA,NA
"4773","2 To 4 Years","Too Much",NA,NA
"4779","Less Than 2 Yrs","About Right",NA,NA
"4790","Less Than 2 Yrs","About Right",NA,NA
"4794","Less Than 2 Yrs","Too Little",NA,NA
"4795","2 To 4 Years","Too Much",NA,NA
"4804","2 To 4 Years","About Right",NA,NA
"4816","2 To 4 Years","Too Little",NA,NA
"4819","Less Than 2 Yrs","Too Little",NA,NA
"4820","2 To 4 Years","Too Much",NA,NA
"4827","2 To 4 Years","Too Much",NA,NA
"4833","More Than 4 Yrs","Too Little",NA,NA
"4853","2 To 4 Years","Too Much",NA,NA
"4863","Less Than 2 Yrs","About Right",NA,NA
"4864","2 To 4 Years","About Right",NA,NA
"4871","2 To 4 Years","About Right",NA,NA
"4872","2 To 4 Years","Too Little",NA,NA
"4886","More Than 4 Yrs",NA,NA,NA
"4887","More Than 4 Yrs",NA,NA,NA
"4889","2 To 4 Years","Too Little",NA,NA
"4891","More Than 4 Yrs","Too Little",NA,NA
"4896","2 To 4 Years","About Right",NA,NA
"4903","2 To 4 Years","About Right",NA,NA
"4906","2 To 4 Years","Too Much",NA,NA
"4915","2 To 4 Years","About Right",NA,NA
"4927","2 To 4 Years","Too Much",NA,NA
"4934","2 To 4 Years","Too Much",NA,NA
"4940","2 To 4 Years","About Right",NA,NA
"4942","2 To 4 Years","About Right",NA,NA
"4952","2 To 4 Years","Too Little",NA,NA
"4963","2 To 4 Years","Too Little",NA,NA
"4967","Less Than 2 Yrs","Too Little",NA,NA
"4972","2 To 4 Years","Too Little",NA,NA
"4976","2 To 4 Years","Too Little",NA,NA
"4978","2 To 4 Years","Too Little",NA,NA
"4985","Less Than 2 Yrs","Too Little",NA,NA
"4986","2 To 4 Years",NA,NA,NA
"4993","2 To 4 Years","Too Much",NA,NA
"4999","2 To 4 Years","About Right",NA,NA
"5003","2 To 4 Years","Too Much",NA,NA
"5006","Less Than 2 Yrs","Too Little",NA,NA
"5009","2 To 4 Years","About Right",NA,NA
"5017","2 To 4 Years","Too Little",NA,NA
"5020","2 To 4 Years","About Right",NA,NA
"5021","More Than 4 Yrs",NA,NA,NA
"5046","2 To 4 Years",NA,NA,NA
"5051","2 To 4 Years",NA,NA,NA
"5062","Less Than 2 Yrs","About Right",NA,NA
"5066","Less Than 2 Yrs",NA,NA,NA
"5083","Less Than 2 Yrs","About Right",NA,NA
"5088","More Than 4 Yrs","Too Little",NA,NA
"5092","2 To 4 Years","Too Little",NA,NA
"5094","2 To 4 Years","Too Little",NA,NA
"5109","2 To 4 Years","Too Much",NA,NA
"5111","2 To 4 Years","Too Much",NA,NA
"5113","2 To 4 Years","About Right",NA,NA
"5117","2 To 4 Years","Too Much",NA,NA
"5130","2 To 4 Years","Too Much",NA,NA
"5133","2 To 4 Years","Too Little",NA,NA
"5134","2 To 4 Years","Too Much",NA,NA
"5135","2 To 4 Years","Too Little",NA,NA
"5136","Less Than 2 Yrs","Too Little",NA,NA
"5138","2 To 4 Years","About Right",NA,NA
"5148","Less Than 2 Yrs","Too Little",NA,NA
"5150","2 To 4 Years","Too Little",NA,NA
"5159","2 To 4 Years","About Right",NA,NA
"5161","2 To 4 Years","Too Much",NA,NA
"5171","More Than 4 Yrs",NA,NA,NA
"5178","More Than 4 Yrs","About Right",NA,NA
"5179","2 To 4 Years","Too Little",NA,NA
"5194","2 To 4 Years","About Right",NA,NA
"5195","Less Than 2 Yrs","Too Little",NA,NA
"5200","More Than 4 Yrs","About Right",NA,NA
"5201","2 To 4 Years","Too Little",NA,NA
"5202","Less Than 2 Yrs","Too Little",NA,NA
"5203","2 To 4 Years","Too Much",NA,NA
"5206","2 To 4 Years","Too Little",NA,NA
"5208","2 To 4 Years","Too Little",NA,NA
"5215","Less Than 2 Yrs","About Right",NA,NA
"5221","More Than 4 Yrs",NA,NA,NA
"5223","2 To 4 Years","Too Much",NA,NA
"5229","Less Than 2 Yrs","Too Little",NA,NA
"5233","2 To 4 Years","Too Little",NA,NA
"5235","2 To 4 Years","Too Little",NA,NA
"5237","Less Than 2 Yrs","Too Little",NA,NA
"5239","More Than 4 Yrs","Too Little",NA,NA
"5241","2 To 4 Years","About Right",NA,NA
"5243","2 To 4 Years","Too Little",NA,NA
"5246","2 To 4 Years","About Right",NA,NA
"5256","2 To 4 Years",NA,NA,NA
"5262","2 To 4 Years","Too Little",NA,NA
"5271","2 To 4 Years",NA,NA,NA
"5272","2 To 4 Years",NA,NA,NA
"5274","More Than 4 Yrs","Too Little",NA,NA
"5277","Less Than 2 Yrs","Too Much",NA,NA
"5279","2 To 4 Years","Too Much",NA,NA
"5280","More Than 4 Yrs","About Right",NA,NA
"5284","More Than 4 Yrs","About Right",NA,NA
"5286","Less Than 2 Yrs",NA,NA,NA
"5289","2 To 4 Years",NA,NA,NA
"5293","2 To 4 Years","Too Little",NA,NA
"5301","Less Than 2 Yrs","Too Much",NA,NA
"5302","2 To 4 Years","Too Little",NA,NA
"5309","Less Than 2 Yrs","About Right",NA,NA
"5312","2 To 4 Years","About Right",NA,NA
"5314","Less Than 2 Yrs","Too Little",NA,NA
"5318","Less Than 2 Yrs","About Right",NA,NA
"5329","2 To 4 Years","Too Little",NA,NA
"5335","2 To 4 Years",NA,NA,NA
"5340","More Than 4 Yrs","About Right",NA,NA
"5346","2 To 4 Years","Too Little",NA,NA
"5348","2 To 4 Years","Too Little",NA,NA
"5349","2 To 4 Years","Too Much",NA,NA
"5355","Less Than 2 Yrs","Too Little",NA,NA
"5358","2 To 4 Years","About Right",NA,NA
"5360","2 To 4 Years","About Right",NA,NA
"5370","2 To 4 Years",NA,NA,NA
"5372","2 To 4 Years","About Right",NA,NA
"5373","2 To 4 Years","About Right",NA,NA
"5377","2 To 4 Years","Too Much",NA,NA
"5382","Less Than 2 Yrs","Too Little",NA,NA
"5394","2 To 4 Years","About Right",NA,NA
"5396","2 To 4 Years","Too Little",NA,NA
"5398","Less Than 2 Yrs","About Right",NA,NA
"5410","Less Than 2 Yrs","About Right",NA,NA
"5413","2 To 4 Years","About Right",NA,NA
"5415","2 To 4 Years","Too Much",NA,NA
"5417","Less Than 2 Yrs","Too Little",NA,NA
"5423","2 To 4 Years","Too Little",NA,NA
"5429","2 To 4 Years","Too Little",NA,NA
"5430","More Than 4 Yrs","Too Much",NA,NA
"5431","2 To 4 Years","About Right",NA,NA
"5435","Less Than 2 Yrs","About Right",NA,NA
"5441","Less Than 2 Yrs","About Right",NA,NA
"5444","More Than 4 Yrs",NA,NA,NA
"5447","More Than 4 Yrs","About Right",NA,NA
"5454","2 To 4 Years",NA,NA,NA
"5455","2 To 4 Years","Too Much",NA,NA
"5463","2 To 4 Years","Too Much",NA,NA
"5465","2 To 4 Years","Too Little",NA,NA
"5473","2 To 4 Years","About Right",NA,NA
"5476","Less Than 2 Yrs","Too Much",NA,NA
"5477","2 To 4 Years","Too Little",NA,NA
"5479","2 To 4 Years","Too Much",NA,NA
"5485","2 To 4 Years","Too Little",NA,NA
"5488","2 To 4 Years","Too Little",NA,NA
"5490","Less Than 2 Yrs","Too Much",NA,NA
"5496","Less Than 2 Yrs","Too Much",NA,NA
"5498","2 To 4 Years","About Right",NA,NA
"5501","2 To 4 Years","About Right",NA,NA
"5503","2 To 4 Years",NA,NA,NA
"5508","Less Than 2 Yrs","Too Little",NA,NA
"5510","2 To 4 Years","Too Little",NA,NA
"5514","2 To 4 Years",NA,NA,NA
"5517","2 To 4 Years","Too Little",NA,NA
"5523","2 To 4 Years","Too Little",NA,NA
"5528","Less Than 2 Yrs",NA,NA,NA
"5529","More Than 4 Yrs","Too Much",NA,NA
"5531","More Than 4 Yrs","Too Little",NA,NA
"5532","2 To 4 Years",NA,NA,NA
"5536","2 To 4 Years",NA,NA,NA
"5540","2 To 4 Years",NA,NA,NA
"5542","2 To 4 Years","Too Much",NA,NA
"5544","2 To 4 Years","Too Little",NA,NA
"5546","2 To 4 Years",NA,NA,NA
"5553","2 To 4 Years",NA,NA,NA
"5555","Less Than 2 Yrs","Too Little",NA,NA
"5558","2 To 4 Years","Too Little",NA,NA
"5559","More Than 4 Yrs","About Right",NA,NA
"5561","Less Than 2 Yrs","Too Little",NA,NA
"5562","2 To 4 Years","Too Much",NA,NA
"5575","Less Than 2 Yrs","About Right",NA,NA
"5581","2 To 4 Years",NA,NA,NA
"5590","Less Than 2 Yrs","About Right",NA,NA
"5595","2 To 4 Years","Too Much",NA,NA
"5596","2 To 4 Years","Too Little",NA,NA
"5599","2 To 4 Years","About Right",NA,NA
"5600","2 To 4 Years","Too Little",NA,NA
"5604","Less Than 2 Yrs","Too Much",NA,NA
"5606","More Than 4 Yrs","Too Much",NA,NA
"5614","2 To 4 Years","Too Much",NA,NA
"5615","2 To 4 Years","About Right",NA,NA
"5618","Less Than 2 Yrs","Too Little",NA,NA
"5626","Less Than 2 Yrs","Too Little",NA,NA
"5631","2 To 4 Years","Too Little",NA,NA
"5632","2 To 4 Years","Too Much",NA,NA
"5640","Less Than 2 Yrs","About Right",NA,NA
"5641","Less Than 2 Yrs","Too Much",NA,NA
"5649","2 To 4 Years","About Right",NA,NA
"5653","2 To 4 Years","Too Little",NA,NA
"5654","More Than 4 Yrs","Too Little",NA,NA
"5659","2 To 4 Years","Too Little",NA,NA
"5663","More Than 4 Yrs","Too Little",NA,NA
"5665","More Than 4 Yrs","Too Little",NA,NA
"5667","More Than 4 Yrs",NA,NA,NA
"5670","2 To 4 Years","Too Little",NA,NA
